,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
131,,,1956,,,,,282 m²,3,1,1,Non,,Non,177 m²,Non,,,,,484 kWh/m²,E,20211006-0002473458-RES-1,Non communiqué,Non communiqué,,Oui,,,,359.000 €,,Non,"Jean Baptiste Nowélei 33B bus 1
1800 - Vilvoorde",PandTK2021014,,,,58 m²,,,,,,,86 m²,,,,,Non,Non connecté,,,,Oui,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,,,À rafraîchir,3,,"Zone d'habitat (résidentiel, urbain ou rural)",140 m²,3,1,2,,,Non,75 m²,Oui,,,,,572 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,Zone non inondable,210.000 €,,,"Daalstraat 100
1852 - Beigem",,,Non,,35 m²,,17 m²,22 m²,17 m²,12 m²,,,Zone d'habitat mixte (habitat & activité économique),,,20 m²,,Connecté,Gaz,,Semi-équipée,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,Bon,,,,200 m²,3,,3,Non,,Non,340 m²,Oui,,,,,202 kWh/m²,C,20210504-0002410784-RES-1,Non communiqué,Non communiqué,,Non,,,,349.000 €,1.551 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,,,,,,,,,,,,,,56 m²,Non,Non connecté,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,1932,,,,,180 m²,4,,,Non,,Non,80 m²,Oui,,,,,342 kWh/m²,D,20210719-0002443473-RES-1,Non communiqué,Non communiqué,,Non,,,,270.000 €,1.170 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,,,,,,,,,,,,,,,Non,Connecté,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,1947,,,,,140 m²,4,,,Non,,Non,102 m²,Non,,,,,365 kWh/m²,D,20210630-0002435911-RES-1,Non communiqué,Non communiqué,,Non,,,,349.000 €,907 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,,,,,,,,,,,,,,,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,1993,,,,,120 m²,3,,,Non,,Non,197 m²,Oui,,,,,147 kWh/m²,B,20210616-0002429748-RES-1,Non communiqué,Non communiqué,,Non,Oui,Oui,Zone non inondable,395.000 €,1.013 €,Non,"Grote Markt 16
1800 - Vilvoorde",,Oui,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,1932,,,,,282 m²,5,,,Non,,Non,147 m²,Non,,,,,592 kWh/m²,F,20150225-0001735162-1,Non communiqué,Non communiqué,,Non,,,,450.000 €,1.598 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,,,,,,,,,,,,,,,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,,1977,Bon,2,1,Urbain,,3,1,,Non,,Non,,,,,,,228 kWh/m²,C,20210604-0002424719-RES-1,Non communiqué,Non communiqué,,Oui,,Non,,345.000 €,,Non,"Leuvensestraat 170
1800 - Vilvoorde",Juni 2021 - Verbindi,Non,Non,,50 m²,,12 m²,18 m²,16 m²,12 m²,,90 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,Équipée,,,,,,48 m²,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,
139,,,,,2,,,138 m²,3,1,2,,,Non,,,,,,,488 kWh/m²,E,20210806-0002448832-RES-1,12 kg CO₂/m²,Non communiqué,Non,Oui,,,,349.000 €,1.390 €,Non,"Av. Henri Conscience 74
1140 - Evere",9877,,,1,26 m²,,,22 m²,15 m²,10 m²,,62 m²,,,,,,,,1,Équipée,Oui,,,,,,,31 m²,,,,,,1,Ouest,Non,,Oui,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,,1900,À rénover,3,,"Zone d'habitat (résidentiel, urbain ou rural)",222 m²,1,,,,,,1216 m²,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Zone non inondable,410.000 €,,,"F. Campionlei 6
1800 - Vilvoorde",,Non,,3,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,2,,,280 m²,4,3,4,,,Non,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,,479.000 €,1.204 €,Oui,"Chaussée de Helmet 239
1030 - Schaerbeek",1198-1,,,,39 m²,Oui,15 m²,18 m²,15 m²,13 m²,,185 m²,,12 m²,,,,,Gaz,,Équipée,Oui,,,,,,15 m,12 m²,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,128 m²,4,1,,Non,,Non,200 m²,Oui,,,,,212 kWh/m²,C,20210802-0002447412-RES-1,Non communiqué,Non communiqué,,Non,,,,325.000 €,870 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,,,32 m²,,14 m²,,,,,,,,,,Non,Connecté,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,3,1,,115 m²,3,1,1,,,Non,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,329.000 €,,Non,"Square Eugène Plasky 97
1030 - Schaerbeek",8047,,,,27 m²,,,12 m²,12 m²,9 m²,,120 m²,,,,25 m²,,,Gaz,,Équipée,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,
144,,,,,2,,,280 m²,4,3,4,,,Non,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,,479.000 €,,Oui,"Avenue Charles Quint 101
1083 - Ganshoren",,,,,39 m²,Oui,15 m²,18 m²,15 m²,13 m²,,185 m²,,12 m²,,,,,Gaz,,Équipée,Oui,,,,,,15 m,12 m²,,,,,,,,Non,,,G1334,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,306 m²,Non,,,,,380 kWh/m²,D,20210426-0002416929-RES-1,Non communiqué,Non communiqué,,Non,Oui,Oui,Zone non inondable,495.000 €,3.088 €,Non,"Grote Markt 16
1800 - Vilvoorde",,,Non,,,,,,,,,,Zone d'extension d'habitat,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,À définir,,,À rafraîchir,2,,,,2,1,2,Non,,Non,130 m²,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,Zone non inondable,240.000 €,,Non,,,,,,,Oui,,,,,,65 m²,,,,,Non,Connecté,Gaz,,Semi-équipée,,,Oui,,,,,,,,,,,,,,,Oui,,Non,Non,Non,Non,Non,,,,,,Non,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,3,,,Non,,,,Non,,,,,480 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,319.000 €,,Non,"Antwerpsesteenweg 219
2950 - Kapellen",,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,Vilvoorde-Hoogveld 2,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
148,À définir,,1979,Bon,4,3,,40 m²,16 m²,2,68 m²,,,1085 m²,935 m²,,,,,,D,Certificaat-20210916-0002464912-RES-1.pdf,Non communiqué,Non communiqué,Non,,Oui,Oui,,530.000 €,2.161 €,Non,"Van Frachenlaan 10
1820 - Steenokkerzeel",5361 - 2021/121,,Zone d'inondation reconnue,,,Équipée,,3,13 m²,12 m²,1,,398 kWh/m²,,,,50 m²,,,Oui,,12 m²,,15 m,,,,Non,,,,,,,,,,Gaz,220 m²,,,,,,,,,,,,,,,,,,,,,,,,"WIELEWAALSNEST ""PERK""",,,,,,,,,,,,,,,,,
149,,,1918,Bon,4,4,,305 m²,5,2,3,,,Non,1645 m²,,,,,Oui,332 kWh/m²,D,20200204-0002243865-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Zone non inondable,698.000 €,3.418 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",1816756 - VKM-2021-0,,,5,52 m²,,20 m²,23 m²,15 m²,15 m²,,1006 m²,,15 m²,12 m²,,,,Gaz,1,Équipée,,,,,,,21 m,85 m²,,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
