,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
0,Après la signature de l’acte,1980,Excellent état,14 m,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,38 m²,Oui,1,Hyper équipée,15 m²,4,32 m²,11 m²,10 m²,16 m²,Non,2,2,14 m²,Oui,Oui,15 m²,Non,Non,880 m²,Non,Non,Non,Non,22 m,Connecté,Oui,880 m²,Sud,40 m²,Sud,Oui,Oui,Non,Non,Non,Non,Oui,281 kWh/m²,D,20170806010199,70 kg CO₂/m²,63192 kWh/an,"Oui, conforme",Mazout,Oui,Oui,Oui,Toutes sortes,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selon le locataire,,Excellent état,,2,,1,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,21 m²,Oui,,Équipée,14 m²,4,21 m²,12 m²,12 m²,9 m²,,1,1,,,,10 m²,Non,,170 m²,,,,,,Connecté,Oui,,,22 m²,,,,,,,,,295 kWh/m²,D,20210922020885,58 kg CO₂/m²,Non communiqué,,Gaz,,Oui,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,,Oui,10 m²,572 €,"Rue Petit Warichet 9
1367 - Ramillies",Serge Decloux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,2008,Excellent état,15 m,4,1,4,Isolé,50 m²,Équipée,,,16 m²,5,14 m²,20 m²,19 m²,16 m²,24 m²,,2,Oui,,Oui,,,646 m²,,20.4 m,,,,,Connecté,Non,20 m²,,,Non,,,Non,,,,206 kWh/m²,,C,20210817015525,Non communiqué,60494 kWh/an,Gaz,,Oui,,145 m²,,,,,,,,Non,"Rue de la Victoire 20
5380 - Noville-les-Bois",,,,4444092,,250 m²,2,2,Non,Non,Oui,Faire offre à partir de 450.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,Bon,,4,,3,,350 m²,50 m²,,,Équipée,24 m²,8,18 m²,10 m²,10 m²,10 m²,Non,3,3,12 m²,Oui,,25 m²,Non,,1580 m²,,,,,,,,,Sud-ouest,15 m²,,,,,,,,,252 kWh/m²,C,20210507002735,Non communiqué,Non communiqué,Non,Mazout,,Oui,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,Oui,15 m²,1.323 €,"Avenue Général Mellier 20
5030 - Gembloux",,,10 m²,2,,,,,Oui,Non,Non,spir1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1968,À rénover,,4,,2,,155 m²,31 m²,,,Pas équipée,10 m²,3,12 m²,11 m²,,,,1,1,,,,,Non,,519 m²,,,,,,Connecté,Non,519 m²,,,,,,,,,,,461 kWh/m²,F,20210725002048,Non communiqué,50910 kWh/an,,Mazout,,,,,,,,Zone non inondable,,230.000 €,Non,,,790 €,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,Oui,,,,,,,4522140,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1985,À rafraîchir,,4,2,,,167 m²,,,1,Équipée,15 m²,3,16 m²,16 m²,15 m²,,,1,,,,,,Non,,1125 m²,,,,,,,,,Ouest,,,,,,,,,,284 kWh/m²,D,20210303018176,Non communiqué,67690 kWh/an,,Mazout,,Oui,,,,,,,,345.000 €,Non,,,1.460 €,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,Oui,,,,,Oui,Non,8978 - 354907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,Excellent état,,4,5,2,,185 m²,33 m²,,,Américaine hyper-équipée,22 m²,3,13 m²,13 m²,25 m²,,,1,2,5 m²,Oui,Oui,25 m²,Non,,475 m²,,,,Oui,,Connecté,Oui,374 m²,,25 m²,,,,,,,,,362 kWh/m²,E,20210819006593,Non communiqué,51824 kWh/an,"Oui, conforme",Mazout,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,,Oui,18 m²,974 €,"Rue Dessus 17
1370 - Jodoigne",VAN REMOORTEL,,,2,,,,,,,,,,,,,28 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1978,À rafraîchir,,,,3,,140 m²,36 m²,,,Semi-équipée,12 m²,4,28 m²,14 m²,8 m²,8 m²,,1,1,,,,,Non,,1178 m²,,,,,,,,,Sud-est,,,,,,,,,,315 kWh/m²,D,20210807004017,780 kg CO₂/m²,42688 kWh/an,"Oui, conforme",Mazout,,Oui,,,,,,,,Faire offre à partir de 320.000 €,Non,,,1.187 €,"Avenue Faculté d'Agronomie 41
5030 - Gembloux",,,,,,,,,Oui,,,41610 - 20085/RNI,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,,,4,1,,"Zone d'habitat (résidentiel, urbain ou rural)",105 m²,25 m²,,,,,3,9 m²,10 m²,9 m²,,,1,1,,,,,,,1551 m²,,,,,,Connecté,Oui,,,,,,,,,,,,538 kWh/m²,G,20210913007657,111 kg CO₂/m²,Non communiqué,,Gaz,,Oui,,,,,,,,240.000 €,,,,1.098 €,"Rue Bois Merau 15
1367 - Ramillies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,Bon,,3,1,4,,110 m²,44 m²,,,Équipée,,3,13 m²,13 m²,8 m²,,,,2,,,,,,,590 m²,,,,,,,Oui,,,,,,,,,,,,336 kWh/m²,D,20210829010286,Non communiqué,45837 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,,Oui,60 m²,694 €,"Chaussée de Louvain 258
5004 - Bouge",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Immédiatement,,Excellent état,,4,,,,160 m²,,Oui,,Américaine équipée,,3,14 m²,14 m²,11 m²,,Oui,1,2,,Non,Non,80 m²,Non,Non,900 m²,Oui,Non,Oui,Oui,,,Oui,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Pellets,,,,Villa,,,,Zone non inondable,,350.000 €,Non,Oui,,,,,,,1,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,,À rafraîchir,,3,1,,,180 m²,34 m²,Oui,,Semi-équipée,25 m²,3,13 m²,10 m²,9 m²,,,1,1,,,,,Non,,907 m²,,,,,,Connecté,Non,907 m²,,100 m²,,,,,,,,,428 kWh/m²,F,20210714004341,Non communiqué,79332 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,Faire offre à partir de 285.000 €,Non,,,510 €,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,Oui,,,,,,,4517204,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,À restaurer,,3,,3,,140 m²,50 m²,,,,8 m²,4,28 m²,14 m²,12 m²,8 m²,,1,1,,,,,Non,,670 m²,,,,,,,Oui,,Ouest,,,,,,,,,,419 kWh/m²,E,20210810010616,70 kg CO₂/m²,81159 kWh/an,,Pellets,,Oui,,,,,,,,180.000 €,Non,,14 m²,,"Avenue des Combattants, 21
1370 - Jodoigne",,,,,,,,,Oui,,,41713 - 19827,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,,,,4,,,,,52 m²,Oui,1,,,5,28 m²,17 m²,15 m²,13 m²,,1,3,,Oui,Oui,,,,3860 m²,,,,,,Non connecté,,,,,,,,,,,Oui,,470 kWh/m²,F,20120716009420,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,650.000 €,,Oui,,1.289 €,"Rue du bois de buis 24
1360 - Thorembais-Siant-Trond",,,10 m²,1,Oui,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,4,,1,,170 m²,,,,,,3,,,,,,1,,,,,,Non,,272 m²,,,,,,,,,Sud,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,365.000 €,Non,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,1,,,,,Oui,,,,,,Non,8908 - 354867,,,,,1 décembre 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,4,1,1,,170 m²,,,,,,3,,,,,,1,,,,,,Non,,285 m²,,,,,,,,,Sud-ouest,,,,,,,,,,Non communiqué,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,409.000 €,Non,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,1,,,,,Oui,,,,,,Non,8907 - 354866,,,,,1 décembre 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,3,,2,,158 m²,,,,,,3,,,,,,,11,,,,,Non,,304 m²,,,,,,,,,Nord-ouest,,,,,,,,,,Non communiqué,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,319.000 €,Non,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,Oui,,,,,,Non,8844 - 354841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,3,,2,,189 m²,,,,Hyper équipée,,3,,,,,,2,,,,,,Non,,358 m²,,,,,,,,,Sud,,,Oui,,,,,,,Non communiqué,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,369.000 €,Non,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,Oui,,,,,,Non,8804 - 354829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,3,,2,,158 m²,,,,,,3,,,,,,1,,,,,,Non,,239 m²,,,,,,,Oui,,Nord-ouest,,,Oui,,,,,,,Non communiqué,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,305.000 €,Non,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,Oui,,,,,,Non,8842 - 354840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,1946,Bon,,4,1,5,,20 m²,Équipée,,,3,,Non,,,,,1,1,Non,,Oui,,,Non,Non,Non connecté,,,,,,Oui,1700 m²,20 m²,,Ouest,Non,Non,Non,Oui,,,393 kWh/m²,,E,20210913011890,Non communiqué,90689 kWh/an,Non,,Oui,,395.000 €,,,,,,,,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",,,,Huppaye,,185 m²,,2,,Non,Non,,,,,,,Non,Mazout,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Après la signature de l’acte,,Bon,,4,,,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,Oui,,Américaine équipée,7 m²,3,13 m²,17 m²,12 m²,,Oui,1,2,15 m²,Oui,Oui,,Non,Non,730 m²,Non,Non,Non,Non,,Connecté,Oui,588 m²,,14 m²,,Non,Non,Non,Non,Non,Non,Oui,263 kWh/m²,D,20210910000845,3 kg CO₂/m²,40967 kWh/an,,Pellets,Oui,Oui,,Toutes sortes,,,,,,279.000 €,Non,Oui,17 m²,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
21,,,Excellent état,7 m,3,2,3,Pays,325 m²,50 m²,Oui,,Équipée,22 m²,4,22 m²,9 m²,19 m²,18 m²,Non,1,2,,Non,Non,,Non,Non,2000 m²,Non,Non,Oui,Oui,,Connecté,Oui,,,,,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Oui,Oui,,Toutes sortes,,,,,,400.000 €,Non,Oui,,845 €,,,,,1,Oui,Non,Non,,,Non,,,,,,,,,,,,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,2000,Bon,,4,,,,285 m²,,Oui,1,Équipée,,4,,,,,Oui,1,2,,Oui,Oui,,Non,Non,1600 m²,Oui,Non,Non,Non,40 m,Connecté,Non,1 m²,Nord,1 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,,Toutes sortes,,,,Zone non inondable,,450.000 €,Non,Oui,,1.305 €,,,,,1,Oui,,,,,Non,,,,,,,,,Oui,Oui,,,,Non,Oui,PEB en cours,,,,,,,,,,,,,,,,,,,,,,
23,Immédiatement,,À rénover,20 m,4,,8,Aménagé,660 m²,,,,,,,,,,,Non,,,,Non,Non,,Non,Non,830 m²,Oui,Non,Oui,Oui,35 m,Connecté,Oui,820 m²,Est,,,,,,,,,,Non communiqué,E,20120924023444,Non communiqué,Non communiqué,,Mazout,Oui,Oui,,Toutes sortes,,,,,,500.000 €,Oui,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,Non,Non,8 certificats PEB allant de D à F.,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,3,,,,,Non,,,,Non,,,Non,,3694 m²,,,,,36 m,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Non,,,,,,,Autre type de zone,387.065 €,Non,,,,"Avenue Paul Gilson, 49
1601 - Ruisbroek",,,,,,,,,,Non,Non,9730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,3,,,,,Non,,,,Non,,,Non,,3694 m²,,,,,36 m,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Non,,,,,,,Autre type de zone,391.247 €,Non,,,,"Avenue Paul Gilson, 49
1601 - Ruisbroek",,,,,,,,,,Non,Non,9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,À définir,1900,Excellent état,,2,1,2,Isolé,140 m²,14 m²,Oui,,Équipée,7 m²,3,13 m²,9 m²,22 m²,,,1,1,,,,,,,1270 m²,,,,,,,Non,1270 m²,,,,,,,,,,,475 kWh/m²,F,2021061411639,475 kg CO₂/m²,64659 kWh/an,,Mazout,,Oui,,,,,,,,299.000 €,Non,,,448 €,"Rue clouteuse Pierre, 3
1350 - ORP-JAUCHE",,,,,,,,,,,,4514668,Oui,Oui,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
27,Après la signature de l’acte,,À rénover,,3,2,4,Pays,31 m²,Pas équipée,,,11 m²,3,12 m²,15 m²,9 m²,1,,,2,Oui,,,,,1952 m²,,Non connecté,,,,,,Non,Oui,,,,,,,,,,,,E,20210908026617,363 kg CO₂/m²,43277 kWh/an,Gaz,,Oui,,Faire offre à partir de 230.000 €,,,,,,,,456 €,"Rue clouteuse Pierre, 3
1350 - ORP-JAUCHE",,,Non,4499084,,165 m²,,,Non,,,,,,,,363 kWh/m²,,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
28,,1967,À rénover,,3,,,,141 m²,14 m²,Oui,,,8 m²,3,,,,,,,,,,,,Non,Non,737 m²,,,,,,Connecté,Oui,,,6 m²,,,,,,,,,453 kWh/m²,F,20210410002441,Non communiqué,53766 kWh/an,,Bois,Non,Non,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",175.000 €,Non,,,,"Chaussée de Louvain 432
5004 - Bouge",,,,,,,,,,Non,,VTE0627,,,,,,,,,,,,Non,Non,,,453,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1899,À rénover,,4,,4,Pays,125 m²,26 m²,Oui,,,12 m²,3,15 m²,10 m²,8 m²,,,1,1,,,,50 m²,Non,,2023 m²,,,,,,Connecté,Non,,,,,,,,,,,,643 kWh/m²,G,20210705026973,Non communiqué,116812 kWh/an,,,,Oui,,,,Non,Non,Zone non inondable,,Faire offre à partir de 225.000 €,Non,,16 m²,559 €,"chaussée de Louvain, 49
5310 - Eghezée",,,,,,,,,,,,4422085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,1936,Bon,9 m,4,,2,,32 m²,Oui,10 m²,,,3,18 m²,17 m²,14 m²,1,,,1,Oui,,,,,731 m²,,10 m,,,,,Oui,,Oui,,30 m²,440 kWh/m²,,,,,,,,,F,20120218006684,1000 kg CO₂/m²,109 kWh/an,Non,,Oui,,Oui,Non,,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",299.995 €,463 €,"Rue d'Incourt 37
1315 - Opprebais",,,Non,3802 - 4849,,148 m²,,2,,,,,Sud-ouest,,,,,Non,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,,,,4,1,2,Pays,158 m²,,,1,,,3,,,,,,,,,,,,,,918 m²,,,,,,,,,,50 m²,,,,,,,,,808 kWh/m²,G,20210826011927,Non communiqué,127597 kWh/an,,Électrique,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,,,354 €,"Rue de Branchon 94
5380 - Fernelmont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Après la signature de l’acte,,Excellent état,,4,1,2,,150 m²,40 m²,,,Hyper équipée,13 m²,4,12 m²,11 m²,10 m²,10 m²,,1,2,8 m²,Oui,,,Non,,508 m²,,,,,,Connecté,Non,,,,,,,,,,,,371 kWh/m²,E,20210908004489,Non communiqué,71130 kWh/an,,Mazout,,Oui,,,,,,,,399.000 €,Non,,,1.132 €,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,,,,,,,,4522274,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,,À rénover,,4,,1,,,,,,,,2,,,,,,1,1,,,,,Non,,,,,,,,Non connecté,,,,,,,,,,,,,658 kWh/m²,G,20201005016745,3 kg CO₂/m²,47237 kWh/an,,Pellets,,,,,,,,,,85.000 €,Non,,,270 €,"17 rue Pepin
5000 - Namur",,,,,,,,,,,,,Oui,,,4406032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,1970,À rénover,,4,1,1,,135 m²,34 m²,,,Semi-équipée,,2,19 m²,10 m²,,,,1,,,,,,Non,,3068 m²,,,,,,,Oui,,,,,,,,,,,,577 kWh/m²,G,20200813014093,143 kg CO₂/m²,96390 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,280.000 €,Non,,,,"Avenue des Combattants, 21
1370 - Jodoigne",,,,,,,,,,,,30007 - 19126/JTV,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,,À rénover,,4,,3,,,,,,,,2,,,,,,1,1,,,,,Non,,,,,,,,Non connecté,Non,,,,,,,,,,,,430 kWh/m²,F,20210720007359,9 kg CO₂/m²,33234 kWh/an,,Pellets,,,,,,,,,,55.000 €,Non,,,,"17 rue Pepin
5000 - Namur",,,,,,,,,,,,,Oui,,,4427104,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,,,,4,,3,,400 m²,38 m²,,1,Équipée,15 m²,4,19 m²,15 m²,14 m²,14 m²,,2,,9 m²,Oui,,,Non,,747 m²,,,,,,,Oui,,,40 m²,,,,,,,,,379 kWh/m²,E,20210614003329,95 kg CO₂/m²,127112 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,325.000 €,Non,,,877 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,12 m²,1,,,,,,,,37663 - 19995/JPR,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,13 m,4,,,,,14 m²,Oui,,,12 m²,3,,,,,Non,1,2,,Non,Non,,Non,Non,300 m²,Non,Non,Non,Non,,,Non,,,,,Non,Non,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Oui,Toutes sortes,,,,,,249.000 €,Non,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
38,Après la signature de l’acte,1920,Bon,4 m,2,,,Urbain,26 m²,Oui,Semi-équipée,,19 m²,3,12 m²,8 m²,12 m²,1,,,2,8 m²,Oui,16 m²,,,99 m²,,4.45 m,,,,,Connecté,Oui,15 m²,,,213 kWh/m²,,,,,,,,,C,20140313003130,6881 kg CO₂/m²,27759 kWh/an,Non,,Oui,,61 m²,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,350 €,"Place Communale 8
1160 - Auderghem",,Non,Non,4456381,,128 m²,,,,,,Non,,,,,,,Mazout,,,,,,,,,,,,Jodoigne,,,,,,,,,,,,,,,,,,,,,
39,Après la signature de l’acte,1960,À rafraîchir,5 m,3,,,Urbain,20 m²,Semi-équipée,,,22 m²,2,16 m²,15 m²,1,,,,1,12 m²,Oui,Oui,,Non,190 m²,,5.22 m,,,,,Connecté,Oui,126 m²,351 kWh/m²,,,,,,,,,,,E,20210810000856,8234 kg CO₂/m²,44953 kWh/an,Gaz,,Oui,,,,,Non,Non,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",175.000 €,272 €,"Place Communale 8
1160 - Auderghem",,,Non,4416929,,126 m²,,2,,,,Non,,,,,,16 m²,,,,,,,,,,,64 m²,,Jodoigne,,,,,,,,,,,,,,,,,,,,,
40,À la livraison,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,Non,,Zone non inondable,,,Non,,,,"Avenue Reine Astrid, 92
1310 - La Hulpe",,,,,,,,,,,,,,,,4497511,,,,,1 juin 2022 - 00:00,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
41,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,Non,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,,,,,,,,,,4181991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Toutes sortes,Non,Non,Non,,,,Non,,,,"Rue de Champles 50
1301 - Bierges",,,,,,,,,,,Non,,,,,P0119_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,1900,Bon,5 m,2,,,Urbain,2453 m²,Oui,Équipée,,17 m²,4,20 m²,21 m²,13 m²,26 m²,1,,1,6 m²,Oui,19 m²,,,70 m²,,5 m,,,,,Connecté,Oui,17 m²,,,292 kWh/m²,,,,,,,,,D,20210513009590,Non communiqué,52632 kWh/an,Non,,Oui,,60 m²,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,Non,"Place Communale 8
1160 - Auderghem",,Oui,,4404744,,169 m²,,2,Non,,,Non,,,,,,,Mazout,,,,,,,,,,,,Jodoigne,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,2015,Bon,8 m,3,,2,Pays,42 m²,Équipée,,,12 m²,3,15 m²,15 m²,20 m²,2,,,2,22 m²,Oui,Non,,,266 m²,,7.85 m,,,,,Connecté,Non,200 m²,23 m²,,187 kWh/m²,,,,,,,,,C,20141217015304,Non communiqué,Non communiqué,Mazout,,Oui,,66 m²,,,,,,325.000 €,,Non,"Place Communale 8
1160 - Auderghem",,,,4278351,,173 m²,,3,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,Jodoigne,,,,,,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,1900,Bon,14 m,4,,3,"Zone d'habitat (résidentiel, urbain ou rural)",38 m²,1,,Équipée,2,,15 m²,13 m²,7 m²,1,,,1,7 m²,Oui,Non,,,770 m²,,16 m,,,,,Oui,,500 m²,Nord-ouest,10 m²,385 kWh/m²,,,,,,,,,E,20210922011870,97 kg CO₂/m²,Non communiqué,Non,,Oui,,265.000 €,,,,,,,,1 €,"Chaussee de Charleroi 59 B
5030 - Gembloux",,,Non,98 - 93363871,,130 m²,,,,,,,,,,,,,Mazout,,,,,,1 janvier 2022 - 00:00,,,,,,,,242 €,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,1900,Fraîchement rénové,4.25 m,2,,,,120 m²,20 m²,Oui,,Équipée,14 m²,3,12 m²,15 m²,19 m²,,,1,1,,,,,Non,,170 m²,,,,,4.25 m,Connecté,Non,,,,,,,,,,,,413 kWh/m²,E,20140328019358,102 kg CO₂/m²,58207 kWh/an,,Mazout,,Oui,,,,,,,,240.000 €,Non,,,399 €,"Place Ernest Dubois 6
1390 - Grez-Doiceau",,,,,Oui,,,,,,,,Oui,,,4427913,,,,,1 juillet 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
