,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
134,,4,,,1,1,Non,1002 m²,,,,2369 kWh/m²,F,20210920-0002466125-RES-1,Non communiqué,Non communiqué,,,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",200.000 €,210 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21073,,Urbain,,,,Oui,,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,4,2,Oui,28 m²,3,1355 m²,50 m,,Oui,,C,2451446,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",669.000 €,1.921 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314309 - 1314203,,Après la signature de l’acte,,,,,Non,,Excellent état,203 m²,,3,35 m²,Oui,,,Gaz,,,14 m²,1,,,,Oui,Non,,,,210 kWh/m²,,,,Oui,,,Nord-est,,,,,,,Hyper équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2015,4,2,93 m²,2,1,Non,,,,,87 kWh/m²,A,11053-G-2012_44189/EP13143/A001/D01/SD006,Non communiqué,Non communiqué,Gaz,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,1.018 €,Non,"Bredabaan 467a
2990 - Wuustwezel",D2990-21075,,Urbain,,,,Oui,,Excellent état,,,Hyper équipée,,,,13 m²,,,,,,,,,,,,,,Non,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,4,,110 m²,2,1,Non,2683 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,,,Zone non inondable,,360.000 €,661 €,Non,,,,Pays,,,,Oui,,,,,Équipée,,,,,,,,,,,,,,Non,,,Non,Non,Oui,,,,,Non,,Non,Non,Non,Non,Toutes sortes,Oui,,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,,70 m²,,,,,,,,,,,,,,
138,,2,,199 m²,4,2,Non,189 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314066 - 1308603,,,,1,,Oui,,,,41 m²,Hyper équipée,2,,84 m²,20 m²,Non,,,23 m²,9 m²,9 m²,9 m²,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1965,4,5,362 m²,5,1,Non,1404 m²,Connecté,Oui,,171 kWh/m²,B,2363834,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,2.409 €,Non,"Eikenlei 2
2960 - Brecht / St-Job-in-'t-Goor",4421233,Après la signature de l’acte,Urbain,15.44 m,2,,Oui,150 m²,Bon,,74 m²,Équipée,2,28.81 m,,30 m²,,,18 m²,21 m²,17 m²,13 m²,15 m²,,16 m²,Oui,Oui,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,150 m²,,,13 m²,"Oui, conforme",,,,,,,,,,
140,1992,4,,,3,1,,7850 m²,,,,730 kWh/m²,F,20210908-0002461800-RES-2,Non communiqué,Non communiqué,Électrique,,,,,,,650.000 €,897 €,Non,"Gemeentepark, 17
2990 - WUUSTWEZEL",,Après la signature de l’acte,,,,,,,Bon,,,,2,,,,,,,,,,,,,,,,,,,Lisa HUYBRECHTS,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
141,,4,,250 m²,4,1,Non,5132 m²,,,,1 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,,698.831 €,18 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1313967 - 1308571,Après la signature de l’acte,,12 m,,,,,,,,Pas équipée,2,,,,Non,,,,,,,,,,,,,,,,,Est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,4,,,3,1,Non,5132 m²,,,,1 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,Zone non inondable,,640.277 €,18 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314418 - 1308572,,,11 m,,,,,,,,Pas équipée,2,,,,Non,,,,,,,,,,,,,,,,,Est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2021,4,,140 m²,3,1,,1000 m²,,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,,327.085 €,,Non,"Handelslei 50
2980 - St Antonius Zoersel",4393138,À la livraison,Isolé,,,,,,Excellent état,,,Américaine hyper-équipée,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
