,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Type de cuisine,Surface de la chambre 3,Surface de la chambre 4,Dressing,Buanderie,Bureau,Surface de la cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Double vitrage,Surface constructible totale au sol,Obligation de construire,Revenu cadastral,Référence externe,Type d’environnement,Année de construction,Salon,Salle à manger,Terrasse,Parkings intérieurs,Cave,Largeur de la façade à rue,Surface de la chambre 5,Surface de bureau,Espace professionnel,Porte blindée,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface du grenier,Visite virtuelle,Surface du salon,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Parkings extérieurs,Combien de feux ouverts ?,Salles de douche,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Charges mensuelles,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Grenier,Nom du bien,Nom de l'agent
30,,,,285 m²,,6,,,3,3,Non,,Oui,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",569.000 €,Oui,"Boterlaanbaan 323
2100 - Deurne",Schotensesteenweg 41,,,,Non,,Non,,Non,Non,Non,Non,6 m,Non connecté,Oui,,,,,,,,,,Oui,95 m²,Non,,,Urbain,1975,,,Oui,1,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,Bon,3,6 m²,6 m²,9,6,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,À la livraison,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,56 m²,,,,,,,,,,,329 kWh/m²,D,20210625-0002434160-KNR-1,Non communiqué,Non communiqué,,,,Non,Non,Non,Zone non inondable,,137.500 €,Oui,"Britselei, 24
2000 - Anvers",RUGGEVELDLAAN 514/GL,,,,Non,,Non,,Non,Non,Non,Non,,Non connecté,Oui,,,,,,,,,,Non,,Non,1.524 €,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,15 janvier 2022 - 00:00,Bon,2,,34 m²,,,Équipée,2,1,1,,,6 m,51 m²,268 kWh/m²,C,20210722-0002444198-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,335.000 €,924 €,Non,168 m²,,,,,,,,,,,Non,,,132 m²,,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)","Boterlaarbaan 311
2100 - Deurne",,,,,,6 m,,1947,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,Fraîchement rénové,2,690 m²,,4,16 m²,16 m²,4,5,Non,700 m²,,,213 kWh/m²,C,0002367397,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",995.000 €,Oui,"Langebaan 79
2980 - Zoersel",4269245,Hyper équipée,16 m²,16 m²,,,,,,,,,10 m,Connecté,Non,290 m²,,,Non,Non,,,Oui,Non,Oui,170 m²,,,,Urbain,1976,,,Oui,3,,10 m,,,,,,,,,,,,,,,,,49 m²,,,,1,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,1972,À rafraîchir,2,2,2,57 m²,,,,,,,7,7,7,Oui,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,MORKHOVEN,,,1950,2,2,390 m²,,,1,2,Oui,Non,230 m²,Oui,92 m²,218 kWh/m²,C,202102180002375795-Res-1,,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,,,,,,,,,,,,,,1,Équipée,3,,,,,,,,13 m²,,,,Oui,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,,,2,,147 m²,32 m²,18 m²,18 m²,18 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,5 m,,,4,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Après la signature de l’acte,Bon,1,,Équipée,,,4,2,Oui,Non,,,98 m²,493 kWh/m²,E,0001258772,Non communiqué,Non communiqué,Non,,,,,,,Oui,865 €,Oui,"Britselei 42
2000 - Antwerpen",161 m²,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,274.900 €,10222 - 3595955,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,,2,115 m²,18 m²,3,19 m²,13 m²,1,2,Non,87 m²,,Est,241 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,Non,"Ter Heydelaan 197
2100 - Deurne",4772 - 3665565,,9 m²,,,,,,,,,,,,,19 m²,,,,,,,,,Oui,,,629 €,,,1932,,,,,Oui,5 m,,,,,,,,,,,,,,,,,28 m²,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,Après la signature de l’acte,Fraîchement rénové,2,245 m²,34 m²,,,2,,1,,3,Non,90 m²,304 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,Oui,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,Après la signature de l’acte,1950,98 m²,36 m²,3,18 m²,,,8 m²,8 m²,2,2,Oui,Non,98 m²,,,E,,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,5 m,,,,,,,,,,,,,,,,,,,,,,405 kWh/m²,,,Non,Zone non inondable,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,À rafraîchir,2,155 m²,,2,,,1,2,Non,,,Sud,395 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Dascottelei, 152
2100 - Deurne",5068 - 2663,Équipée,,,,,,,,,,,,,,210 m²,13 m²,,,,,Oui,,,Oui,,,1.489 €,,Urbain,1946,,,,,Oui,,,,,,,,,,,,,,,,,,53 m²,,,,,1,1,,,,,,,,,,,
