,À partir de,Année de construction,Salon,Type de cuisine,Chambres,Salles de bains,Grenier,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Procédure pour violation de la réglementation urbanistique,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Combien de feux ouverts ?,Toilettes,Bureau,Meublé,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Accès sécurisé / alarme,Attestation as-built,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Type d’environnement,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la terrasse,Dressing,Cave,Raccordement à l'égout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Salle à manger,Buanderie,Espace professionnel,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Visite virtuelle,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Orientation de la terrasse,Nombre d'annexes,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Obligation de construire,Référence externe,Surface constructible totale au sol,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Disponible le,Charges mensuelles
125,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,,,Semi-équipée,3,2,,844 m²,,421 kWh/m²,E,2466834,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,298.000 €,,Non,"Kempenlaan 5
2300 - Turnhout",,,À rénover,,3,1,3,180 m²,,2,,Non,,Oui,,,,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",4516511,,,,,,,,,,,,,,,,,,,,,,,700 m²,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
127,,1975,,Semi-équipée,3,1,Oui,1995 m²,,1023 kWh/m²,F,20210809-002449651-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,429.000 €,,Non,"Vrijheid 8
2370 - Arendonk",,,,19 m,4,1,4,173 m²,,2,,,34 m,Non,,,,,,,Parc résidentiel,4442692,Isolé,36 m²,13 m²,15 m²,11 m²,20 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,,179 m²,,,28 février 2022 - 00:00,
128,Après la signature de l’acte,1995,,Équipée,4,2,Oui,800 m²,,294 kWh/m²,C,20210913-0002463461-RES-1,Non communiqué,Non communiqué,,,,Zone non inondable,519.000 €,1.139 €,Non,,,,Bon,,4,,,,1,2,Non,Non,,Oui,,,Oui,,Gaz,Oui,,,,33 m²,22 m²,22 m²,20 m²,20 m²,Non,,Connecté,Oui,Non,Non,Oui,Oui,Non,,Oui,Non,Non,Non,Non,Non,376 m²,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,,,19 m²,14 m²,,,,,1,,,,,,,,,,
129,À la livraison,2022,Oui,,3,1,,5284 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Zone non inondable,325.000 €,,Non,"Kempenlaan 5
2300 - Turnhout",,,,,3,45,45,133 m²,,2,,,,Non,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",4499470,Urbain,,,,,17 m²,,,Connecté,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
130,,,Oui,Équipée,3,1,Oui,570 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,395.000 €,1.266 €,Non,,,,,,4,,3,570 m²,,2,Non,Non,,Oui,,,,,Mazout,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,Oui,,Non,Non,Non,Oui,,Non,,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,Non,Toutes sortes,,,,,,Sud,,,,,,,,,,,,
131,,1999,,,,,,,,210 kWh/m²,C,20210927-0002468914-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,1.250.000 €,2.830 €,Non,"PARKLAAN 46
2300 - Turnhout",,Non,,,,,,,,,,,,Non,,,,,Gaz,Oui,Parc résidentiel,04/11899,,,,,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,À définir,,,,3,1,,210 m²,Oui,313 kWh/m²,D,2412486,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,299.000 €,,Non,"Kempenlaan 5
2300 - Turnhout",,,Bon,7 m,2,2,2,,,,,,7 m,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",4360720,Urbain,,,,,,,,Connecté,,,,,,,,,,,,,,45 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,3,1,,325 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,379.000 €,,Non,,,,Fraîchement rénové,,4,1,2,,,,Non,Non,,Non,,,Non,,,Oui,,,,,,,,,Non,,,Non,Oui,Non,,,Non,,,Non,Non,Non,Non,Non,1 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,"Oui, conforme",,,,,,,
134,,,,,,,,141005 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Zone non inondable,595.000 €,59 €,Non,"PARKLAAN 46
2300 - Turnhout",,Non,,,,,,,,,,,,Non,,,,,,Non,Zone naturelle,04/12937,,,,,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
